Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.147529   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.247413   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.347057   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.447578   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.547384   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.647426   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.747269   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.847281   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.947575   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:12 ip-172-31-10-147 kubelet[13623]: E0923 21:36:12.047404   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:12 ip-172-31-10-147 kubelet[13623]: E0923 21:36:12.146562   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:12 ip-172-31-10-147 kubelet[13623]: E0923 21:36:12.247118   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:12 ip-172-31-10-147 kubelet[13623]: E0923 21:36:12.346547   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:12 ip-172-31-10-147 kubelet[13623]: E0923 21:36:12.447260   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:12 ip-172-31-10-147 kubelet[13623]: E0923 21:36:12.546875   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
